Titel Geschäft;Link Dokument
Interpellation Nr. 159 Eric Weber betreffend Notruf;https://grosserrat.bs.ch/?dnr=23.5654.01
Budgetpostulat 2024 Pascal Pfister Präsidialdepartement, 350 Kantons- und Stadtentwicklung, 31 Sach- und Betriebsaufwand (Freiwilligenprojekte gegen Einsamkeit);https://grosserrat.bs.ch/?dnr=23.5648.01
Interpellation Nr. 158 Beat Braun-Gallacchi betreffend Ausrichtung und Organisation der Ständerats- und Bundesratsfeierlichkeiten;https://grosserrat.bs.ch/?dnr=23.5653.01
Anzug Fleur Weibel und Konsorten betreffend Wissen schaffen und austauschen: Was ist los im Kleinbasel und was braucht es?;https://grosserrat.bs.ch/?dnr=23.5651.01
Motion Daniel Albietz und Konsorten betreffend faires Inventarisierungsverfahren;https://grosserrat.bs.ch/?dnr=23.5649.01
Wahl eines Mitglieds der Finanzkommission (Nachfolge Tim Cuénod, SP);https://grosserrat.bs.ch/?dnr=23.5636.01
Budgetpostulat 2024 Luca Urgese und Christoph Hochuli Bau- und Verkehrsdepartement, 617 Tiefbauamt (Stadtreinigung), 31 Sachaufwand (illegale Sprayereien);https://grosserrat.bs.ch/?dnr=23.5646.01
"Budgetpostulat 2024 Christine Keller Bau- und Verkehrsdepartement, 614 Stadtgärtnerei, 31 Sach- und Betriebsaufwand (Hundefreilaufzone ""Merkuranlage"")";https://grosserrat.bs.ch/?dnr=23.5638.01
Budgetpostulat 2024 Michael Hug betreffend Präsidialdepartement, 370 Kultur, 36 Transferaufwand (Jüdisches Museum);https://grosserrat.bs.ch/?dnr=23.5640.01
Motion Nicole Strahm-Lavanchy und Konsorten betreffend Stromsparbonus für Betriebe gerecht verteilen;https://grosserrat.bs.ch/?dnr=23.5645.01
Budgetpostulat 2024 Philip Karger und Konsorten Präsidialdepartement, 370 Kultur, 36 Transferaufwand (Zoo Basel);https://grosserrat.bs.ch/?dnr=23.5637.01
Budgetpostulat 2024 Lorenz Amiet und Jérôme Thiriet Bau- und Verkehrsdepartement, 617 Tiefbauamt, 31 Sach- und Betriebsaufwand (Winterdienst);https://grosserrat.bs.ch/?dnr=23.5639.01
Motion Lorenz Amiet und Konsorten betreffend Gleichbehandlung der nachobligatorischen Schulzeit in Sachen Familienurlaub;https://grosserrat.bs.ch/?dnr=23.5643.01
Antrag Claudia Baumgartner und Konsorten auf Einreichung einer Standesinitiative betreffend Massnahmen zur Aufwertung der beiden ehemaligen Halbkantone Basel-Stadt und Basel-Landschaft (Volles Ständerecht);https://grosserrat.bs.ch/?dnr=23.5642.01
Budgetpostulat 2024 Raphael Fuhrer Bau- und Verkehrsdepartement, 661 Amt für Mobilität, 30 Personalaufwand (Velofachstelle);https://grosserrat.bs.ch/?dnr=23.5641.01
Anzug Anita Lachenmeier-Thüring und Konsorten betreffend Velogegenverkehr im Claragraben zwischen Riehenstrasse und Claraplatz;https://grosserrat.bs.ch/?dnr=15.5416.05
Schriftliche Anfrage Eric Weber betreffend ältere Angestellte beim Kanton Basel-Stadt: Werden diese raus gedrängt?;https://grosserrat.bs.ch/?dnr=23.5597.02
Schriftliche Anfrage Joël Thüring betreffend Baustellen, Verspätungen, Auslastung, Restwertvernichtung und teure Energie: Was kosten die BVB uns an Steuergeld und Klimabilanz?;https://grosserrat.bs.ch/?dnr=23.5458.02
Schriftliche Anfrage Sasha Mazzotti betreffend den externen sonderpädagogischen Angeboten vor der Umsetzung der «Integrativen Schule» in Basel-Stadt;https://grosserrat.bs.ch/?dnr=23.5635.01
Motion Barbara Heer und Konsorten betreffend Ferienbetreuung in den Tagesstrukturen einführen;https://grosserrat.bs.ch/?dnr=23.5347.02
Motion Georg Mattmüller und Konsorten betreffend Selbstbestimmtes Leben zu Hause - in Zukunft mit zeitgemässen und bedarfsgerechten Leistungen!;https://grosserrat.bs.ch/?dnr=23.5346.02
Motion Johannes Sieber und Konsorten betreffend Zwischennutzung Musical Theater ab 2025 jetzt in Angriff nehmen;https://grosserrat.bs.ch/?dnr=23.5333.02
Motion Luca Urgese und Konsorten betreffend digitalisierte und unbediente Einkaufsläden möglich machen;https://grosserrat.bs.ch/?dnr=23.5245.02
Motion Alex Ebi und Konsorten betreffend Dreifachturnhalle und zusätzlicher Schulraum Campus Bäumlihof, Drei Linden und Hirzbrunnen;https://grosserrat.bs.ch/?dnr=23.5332.02
Motion der Gesundheits- und Sozialkommission betreffend Kenntnisgabe der Eignerstrategien der öffentlich-rechtlichen Spitäler an den Grossen Rat;https://grosserrat.bs.ch/?dnr=23.5324.02
Motion Beat K. Schaller und Konsorten für eine sichere Kreuzung bei der Heiliggeistkirche;https://grosserrat.bs.ch/?dnr=23.5272.02
Motion Béla Bartha und Konsorten betreffend Ergänzung des Baumschutzgesetzes: Nicht nur die Anzahl, sondern auch der ökologische Wert des Baumbestandes in BS muss geschützt werden, um dessen Klimawirkung zu erhalten;https://grosserrat.bs.ch/?dnr=23.5349.02
Motion Laurin Hoppler und Konsorten betreffend ein Gesamtkonzept für die Umgestaltung des Kasernenareals;https://grosserrat.bs.ch/?dnr=23.5269.02
Schriftliche Anfrage Christoph Hochuli betreffend Mediationen in Jugendstrafverfahren;https://grosserrat.bs.ch/?dnr=23.5457.02
Schriftliche Anfrage Harald Friedl betreffend Modernisierung der Basler Klärschlammverbrennungsanlage;https://grosserrat.bs.ch/?dnr=23.5489.02
Anzug Beda Baumgartner und Konsorten betreffend kein Einsatz von biometrischen Erkennungssystemen in Basel-Stadt;https://grosserrat.bs.ch/?dnr=22.5022.02
"Anzug Lisa Mathys und Konsorten betreffend Frühlingserwachen der ""kleinen"" Kulturangebote in Zeiten der Unsicherheit";https://grosserrat.bs.ch/?dnr=22.5053.02
Schriftliche Anfrage Daniel Albietz betreffend tibetisch-buddhistisches Kalachakra-Mandala im Kunstmuseum;https://grosserrat.bs.ch/?dnr=23.5450.02
Motion Luca Urgese und Konsorten betreffend neues Steuerrechnungsmodell, statt Steuerinkasso auf die Unternehmen abwälzen;https://grosserrat.bs.ch/?dnr=23.5348.02
Anzug der Spezialkommission Klimaschutz betreffend Senkung des Energieverbrauchs durch intelligente Heizsysteme;https://grosserrat.bs.ch/?dnr=21.5751.02
"Anzug der Spezialkommission Klimaschutz bezüglich der Folgekosten des Klimawandels in einem ""Weiter-wie-bisher""-Szenario";https://grosserrat.bs.ch/?dnr=21.5749.02
Anzug der Spezialkommission Klimaschutz betreffend Kreislaufwirtschaft vorantreiben;https://grosserrat.bs.ch/?dnr=21.5747.02
"Ratschlag ""Stärkung der Innovationsförderung Basel-Stadt 2023/24 bis 2030"" sowie Bericht zu vier Anzügen";https://grosserrat.bs.ch/?dnr=23.0719.02
Anzug Olivier Battaglia und Konsorten betreffend Vorsorgebeitrag für berufstätige Grossratsmitglieder;https://grosserrat.bs.ch/?dnr=22.5335.02
Anzug Michael Hug und Konsorten betreffend Start-up Hub im Stadtzentrum;https://grosserrat.bs.ch/?dnr=21.5302.03 23.0719.02
Anzug Toya Krummenacher und Konsorten betreffend Fonds zur Förderung von Unternehmen/Startups aktiv im Bereich sozialer und ökologischer Nachhaltigkeit;https://grosserrat.bs.ch/?dnr=19.5581.04 23.0719.02
Schriftliche Anfrage Johannes Sieber betreffend der Kulturbetrieb im Fokus geopolitischer und kultureller Konflikte;https://grosserrat.bs.ch/?dnr=23.5634.01
Schriftliche Anfrage Johannes Sieber betreffend Vermitteln von Kompetenzen im Umgang mit Fake-News;https://grosserrat.bs.ch/?dnr=23.5633.01
Anzug Erich Bucher und Konsorten betreffend Förderung und Ansiedlung von Firmen im Finanzdienstleistungsbereich;https://grosserrat.bs.ch/?dnr=20.5111.03 23.0719.02
Anzug Thomas Widmer-Huber und Konsorten betreffend Konjunkturprogramm Basel-Stadt 200 Millionen mit Massnahmen zur Bekämpfung der Rezession durch Investition in eine nachhaltige Klimapolitik;https://grosserrat.bs.ch/?dnr=20.5215.04 23.0719.02
"Anzug Daniel Sägesser und Konsorten betreffend Schaffung ""Trinationaler Cleantech-Cluster Region Basel"": Mehr Nachhaltigkeit und Branchendiversifikation für die Wirtschaft im Dreiländereck";https://grosserrat.bs.ch/?dnr=20.5159.03 23.0719.02
"Petition P469 ""Massnahmen gegen die ausufernde Drogenszene im Kleinbasel""";https://grosserrat.bs.ch/?dnr=23.5511.02
Schriftliche Anfrage Niggi Daniel Rechsteiner betreffend Anwohnerparking mit Nutzung bestehender öffentlicher und privater Kapazitäten in Basel;https://grosserrat.bs.ch/?dnr=23.5631.01
"Petition P425 ""Diskriminierungsfreie Schulen""";https://grosserrat.bs.ch/?dnr=20.5437.04
Anzug Philip Karger und Konsorten betreffend Bürokratie in der Verwaltung von Basel-Stadt;https://grosserrat.bs.ch/?dnr=23.5629.01
"Petition P434 ""Gegen Diskriminierung aufgrund von Aussehen, Geschlecht, Religion, Hautfarbe und/oder Herkunft""";https://grosserrat.bs.ch/?dnr=21.5522.04
Anzug Sandra Bothe und Konsorten betreffend Stärkung der demokratischen Werte in der Volksschule: Entflechtung des Sammelbereichs «Ethik, Religionen, Gemeinschaft», berufliche Orientierung, Klassenstunde;https://grosserrat.bs.ch/?dnr=23.5628.01
Anzug Eric Weber betreffend Grossräte müssen in ihrem Wahlkreis wohnen;https://grosserrat.bs.ch/?dnr=23.5630.01
Umgestaltung der Archäologischen Informationsstelle «Basel, 80 v. Chr. Murus Gallicus - Der Keltenwall»;https://grosserrat.bs.ch/?dnr=23.0948.01
Schriftliche Anfrage Amina Trevisan betreffend Ausbau des Dachstockes Primarstufe Insel, Inselstrasse 45, 4057 Basel;https://grosserrat.bs.ch/?dnr=23.5626.01
Schriftliche Anfrage Brigitte Gysin betreffend Begleitung der leiblichen Eltern von Pflegekindern;https://grosserrat.bs.ch/?dnr=23.5627.01
Anzug der Spezialkommission Klimaschutz betreffend Vorbildfunktion für nachhaltiges Bauen;https://grosserrat.bs.ch/?dnr=21.5742.02
Anzug Salome Bessenich und Konsorten betreffend Strategie Netto-Null in der Basler Bauwirtschaft;https://grosserrat.bs.ch/?dnr=22.5170.02
Anzug der Spezialkommission Klimaschutz betreffend Klimaziele bei Arealentwicklungen;https://grosserrat.bs.ch/?dnr=21.5748.02
Anzug Oliver Thommen und Konsorten betreffend Förderung von einheimischem Holz als ökologischer und klimaneutraler Baustoff;https://grosserrat.bs.ch/?dnr=20.5186.03
Anzug der Spezialkommission Klimaschutz betreffend Experimentierzone und Experimentierstatus für klimafreundliches Bauen;https://grosserrat.bs.ch/?dnr=21.5745.02
Anzug der Spezialkommission Klimaschutz betreffend Klausel für Pilotprojekte;https://grosserrat.bs.ch/?dnr=21.5752.02
Anzug Jürg Stöcklin und Konsorten betreffend der Reduktion von klimaschädlichem Zement und Beton im Kanton Basel-Stadt;https://grosserrat.bs.ch/?dnr=21.5102.03
Schriftliche Anfrage Melanie Eberhard betreffend zur Radonkonzentration in Basler Schulen;https://grosserrat.bs.ch/?dnr=23.5451.02
Anzug Oliver Thommen und Konsorten betreffend ein digitales Forum für Basel;https://grosserrat.bs.ch/?dnr=21.5533.02
Schriftliche Anfrage Eric Weber betreffend «Bewusster ernähren»;https://grosserrat.bs.ch/?dnr=23.5487.02
Anzug Patrizia Bernasconi und Konsorten betreffend gesetzliche Grundlage für Klimaverträglichkeit in Bebauungsplänen;https://grosserrat.bs.ch/?dnr=22.5174.03
Anzug Lea Wirz und Konsorten zur Sicherstellung der Möglichkeit zur Weiterverwendung bestehender Bau- Substanz während allen Planungsphasen;https://grosserrat.bs.ch/?dnr=22.5169.02
Schriftliche Anfrage Adrian Iselin betreffend Sitzbänke bei der jungen Linde auf dem kleinen Platz zwischen Lindenberg, Utengasse und Rheingasse;https://grosserrat.bs.ch/?dnr=23.5522.02
"Förderung zeitgenössische Musik; Staatsbeiträge an das Musikbüro Basel für die Jahre 2024 bis 2026; Rahmenausgabenbewilligung Fachausschuss Musik BS/BL für die Jahre 2024 bis 2026/2029 im Präsidialdepartement, Abteilung Kultur, Ratschlag des RR";https://grosserrat.bs.ch/?dnr=23.0717.01
Schriftliche Anfrage Amina Trevisan betreffend Kinder- und Jugendarmut;https://grosserrat.bs.ch/?dnr=23.5449.02
Anzug Tonja Zürcher und Konsorten betreffend graue Energie bei Baugesuchen berücksichtigen;https://grosserrat.bs.ch/?dnr=22.5173.03
Schriftliche Anfrage Michela Seggiani betreffend Massnahmen zur Situation der Drogenszene im unteren Kleinbasel;https://grosserrat.bs.ch/?dnr=23.5455.02
Anzug David Wüest-Rudin und Konsorten zur Sicherstellung einer Kompetenz- und Beratungsstelle für klimafreundliches Bauen;https://grosserrat.bs.ch/?dnr=22.5168.02
Schriftliche Anfrage Mahir Kabakci betreffend Kunstrasenfelder in Basel-Stadt;https://grosserrat.bs.ch/?dnr=23.5447.02
Interpellation Nr. 157 Lorenz Amiet betreffend Bundesratswahlfeier und ihre Kosten für den Steuerzahler;https://grosserrat.bs.ch/?dnr=23.5625.01
Interpellation Nr. 155 Sandra Bothe-Wenk betreffend den verschiedenen Prüfungsformate für die Maturaprüfungen SJ 23/24;https://grosserrat.bs.ch/?dnr=23.5623.01
Interpellation Nr. 156 Annina von Falkenstein betreffend Einschränkung des Ruftaxi-Angebots auf dem Areal des Friedhofs Hörnli: Sind dem Bau- und Verkehrsdepartement die Anliegen trauernder älterer und gehbehinderter Menschen egal?;https://grosserrat.bs.ch/?dnr=23.5624.01
Interpellation Nr. 154 Oliver Bolliger betreffend möglicher Verschiebung der OECD-Mindeststeuer und deren Auswirkungen auf den Kanton Basel-Stadt;https://grosserrat.bs.ch/?dnr=23.5622.01
Motion Pascal Messerli betreffend den 1. Mai als gesetzlichen Feiertag streichen und durch einen anderen Tag ersetzen;https://grosserrat.bs.ch/?dnr=23.5621.01
"Petition P474 ""Ein Haus für alle - Begegnungsort für armutsbetroffene Menschen""";https://grosserrat.bs.ch/?dnr=23.5619.01
Motion Pascal Messerli betreffend Volksentscheid akzeptieren - keine Durchwegung durch Freizeitgartenareale;https://grosserrat.bs.ch/?dnr=23.5620.01
Interpellation Nr. 153 Eric Weber betreffend warum hat unser Kanton die Studie der Lebenserwartung (in der Basel auf Platz 1 in ganz Europa liegt) verschlafen?;https://grosserrat.bs.ch/?dnr=23.5613.01
Schriftliche Anfrage Claudia Baumgartner betreffend Förderung von Trendsportarten wie «Padel»;https://grosserrat.bs.ch/?dnr=23.5612.01
Schriftliche Anfrage Franz-Xaver Leonhardt betreffend rascher Sanierung und Erhöhung der Verkehrssicherheit der Kreuzung Münchensteinerbrücke Süd;https://grosserrat.bs.ch/?dnr=23.5611.01
Schriftliche Anfrage Eric Weber betreffend Fotos mit Picasso Bildern im Kunstmuseum Basel;https://grosserrat.bs.ch/?dnr=23.5614.01
